city_name,ZAPSANI_VOLICI,UCAST_PROC,P1_HLASY,P1_PROC,P2_HLASY,P2_PROC,P3_HLASY,P3_PROC,P4_HLASY,P4_PROC,P5_HLASY,P5_PROC,P6_HLASY,P6_PROC,P7_HLASY,P7_PROC,P8_HLASY,P8_PROC,P9_HLASY,P9_PROC,P10_HLASY,P10_PROC,P11_HLASY,P11_PROC,P12_HLASY,P12_PROC,P13_HLASY,P13_PROC,P14_HLASY,P14_PROC,P15_HLASY,P15_PROC,P16_HLASY,P16_PROC,P17_HLASY,P17_PROC,P18_HLASY,P18_PROC,P19_HLASY,P19_PROC,P20_HLASY,P20_PROC,P21_HLASY,P21_PROC,P22_HLASY,P22_PROC,P23_HLASY,P23_PROC,P24_HLASY,P24_PROC,P25_HLASY,P25_PROC,P26_HLASY,P26_PROC,population,Praha,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,Pardubice,Zlín,České Budějovice,Jihlava,Karlovy Vary
Jirkov,14638,55.38,0,0.0,0,0.0,7,0.08,11,0.13,1,0.01,834,10.41,33,0.41,120,1.49,5,0.06,18,0.22,995,12.42,17,0.21,0,0.0,10,0.12,31,0.38,514,6.41,0,0.0,4,0.04,0,0.0,527,6.58,0,0.0,3863,48.24,611,7.63,0,0.0,390,4.87,16,0.19,19240,151.0,327.0,393.0,198.0,214.0,324.0,75.0,274.0,226.0,405.0,297.0,320.0,89.0
Jičín,12081,69.94,0,0.0,0,0.0,12,0.14,6,0.07,4,0.04,547,6.55,13,0.15,81,0.97,7,0.08,16,0.19,1841,22.05,0,0.0,0,0.0,15,0.17,36,0.43,721,8.63,8,0.09,2,0.02,0,0.0,512,6.13,0,0.0,2866,34.33,1313,15.72,0,0.0,338,4.04,10,0.11,16101,105.0,224.0,255.0,237.0,89.0,206.0,205.0,77.0,103.0,274.0,259.0,222.0,328.0
Kadaň,13199,58.99,0,0.0,0,0.0,13,0.16,9,0.11,5,0.06,668,8.68,13,0.16,83,1.07,4,0.05,30,0.38,1328,17.26,25,0.32,0,0.0,6,0.07,44,0.57,558,7.25,0,0.0,10,0.12,0,0.0,517,6.71,0,0.0,3497,45.45,611,7.94,0,0.0,269,3.49,4,0.05,18090,159.0,356.0,385.0,158.0,222.0,350.0,83.0,282.0,234.0,390.0,279.0,339.0,63.0
Karlovy Vary,34752,60.71,0,0.0,0,0.0,42,0.2,58,0.27,7,0.03,2003,9.63,27,0.12,200,0.96,7,0.03,51,0.24,4042,19.44,63,0.3,0,0.0,11,0.05,77,0.37,1557,7.48,0,0.0,46,0.22,0,0.0,1278,6.14,0,0.0,7539,36.26,2978,14.32,0,0.0,782,3.76,20,0.09,49073,193.0,369.0,406.0,122.0,256.0,343.0,116.0,316.0,268.0,413.0,244.0,386.0,0.0
Karviná,40257,57.9,27,0.11,3,0.01,12,0.05,13,0.05,7,0.03,1868,8.11,102,0.44,204,0.88,11,0.04,56,0.24,2073,9.0,40,0.17,0,0.0,6,0.02,64,0.27,1049,4.55,21,0.09,5,0.02,0,0.0,1109,4.81,0,0.0,13698,59.48,1239,5.38,0,0.0,1391,6.04,29,0.12,48937,226.0,168.0,17.0,319.0,363.0,84.0,303.0,192.0,162.0,149.0,356.0,321.0,456.0
Kladno,50700,62.64,50,0.15,0,0.0,14,0.04,36,0.11,12,0.03,2746,8.76,68,0.21,439,1.4,16,0.05,69,0.22,6473,20.65,86,0.27,0,0.0,18,0.05,135,0.43,2993,9.55,56,0.17,20,0.06,0,0.0,2275,7.26,0,0.0,10920,34.85,3467,11.06,42,0.13,1357,4.33,42,0.13,69664,26.0,212.0,259.0,140.0,196.0,199.0,98.0,152.0,117.0,272.0,159.0,188.0,184.0
Klatovy,16812,68.55,0,0.0,0,0.0,38,0.33,8,0.07,5,0.04,1086,9.53,24,0.21,95,0.83,5,0.04,20,0.17,2667,23.41,35,0.3,0,0.0,8,0.07,56,0.49,797,6.99,22,0.19,5,0.04,0,0.0,749,6.57,0,0.0,4311,37.85,956,8.39,0,0.0,488,4.28,13,0.11,22763,142.0,316.0,382.0,49.0,325.0,298.0,252.0,238.0,214.0,364.0,140.0,284.0,223.0
Klášterec nad Ohří,11095,57.34,0,0.0,0,0.0,6,0.09,5,0.07,5,0.07,595,9.51,9,0.14,75,1.19,2,0.03,18,0.28,802,12.82,21,0.33,0,0.0,3,0.04,35,0.55,391,6.25,0,0.0,4,0.06,0,0.0,408,6.52,0,0.0,2978,47.6,668,10.67,0,0.0,225,3.59,5,0.07,14068,156.0,332.0,355.0,159.0,219.0,292.0,80.0,303.0,220.0,380.0,280.0,335.0,37.0
Kolín,23237,67.39,17,0.1,0,0.0,7,0.04,13,0.08,5,0.03,1224,7.88,25,0.16,124,0.79,12,0.07,39,0.25,2515,16.21,27,0.17,0,0.0,9,0.05,66,0.42,1160,7.47,21,0.13,15,0.09,0,0.0,1125,7.25,0,0.0,5263,33.92,3214,20.71,15,0.09,604,3.89,15,0.09,33444,45.0,121.0,156.0,132.0,128.0,98.0,119.0,51.0,20.0,155.0,158.0,94.0,257.0
Kopřivnice,16722,66.79,17,0.15,15,0.13,12,0.1,12,0.1,40,0.36,1066,9.65,22,0.19,81,0.73,10,0.09,23,0.2,2150,19.47,38,0.34,0,0.0,6,0.05,54,0.48,809,7.32,7,0.06,5,0.04,0,0.0,714,6.46,0,0.0,4230,38.32,1042,9.44,0,0.0,669,6.06,16,0.14,21374,225.0,153.0,37.0,332.0,359.0,84.0,318.0,199.0,163.0,126.0,335.0,296.0,441.0
Kralupy nad Vltavou,13358,66.15,22,0.25,0,0.0,10,0.11,10,0.11,3,0.03,626,7.18,10,0.11,91,1.04,14,0.16,29,0.33,2032,23.32,22,0.25,0,0.0,3,0.03,54,0.61,904,10.37,10,0.11,4,0.04,0,0.0,607,6.96,0,0.0,2718,31.2,1183,13.58,9,0.1,339,3.89,10,0.11,19005,32.0,213.0,240.0,136.0,145.0,177.0,52.0,132.0,100.0,243.0,139.0,190.0,177.0
Krnov,18278,63.53,14,0.12,19,0.16,6,0.05,7,0.06,6,0.05,1187,10.35,33,0.28,77,0.67,6,0.05,29,0.25,1825,15.91,36,0.31,0,0.0,9,0.07,50,0.43,658,5.73,15,0.13,5,0.04,0,0.0,706,6.15,0,0.0,5199,45.35,815,7.1,0,0.0,731,6.37,31,0.27,22518,268.0,213.0,51.0,352.0,405.0,107.0,361.0,227.0,198.0,183.0,378.0,257.0,539.0
Kroměříž,22535,67.77,0,0.0,24,0.15,6,0.03,17,0.11,4,0.02,1315,8.7,16,0.1,206,1.36,9,0.05,42,0.27,3672,24.3,30,0.19,0,0.0,4,0.02,62,0.41,1290,8.53,21,0.13,5,0.03,0,0.0,895,5.92,0,0.0,5403,35.76,1217,8.05,0,0.0,852,5.63,17,0.11,27917,188.0,97.0,104.0,281.0,337.0,35.0,295.0,160.0,125.0,44.0,342.0,240.0,688.0
Krupka Bohosudov,10184,57.86,0,0.0,0,0.0,6,0.1,6,0.1,5,0.08,539,9.24,15,0.25,54,0.92,2,0.03,23,0.39,872,14.95,12,0.2,0,0.0,5,0.08,29,0.49,409,7.01,0,0.0,4,0.06,0,0.0,408,6.99,0,0.0,2801,48.05,426,7.3,0,0.0,196,3.36,17,0.29,12793,101.0,277.0,300.0,196.0,164.0,237.0,14.0,216.0,176.0,350.0,216.0,248.0,112.0
Králův Dvůr,7050,69.08,4,0.08,0,0.0,0,0.0,11,0.22,1,0.02,290,6.03,6,0.12,41,0.85,1,0.02,10,0.2,1439,29.94,19,0.39,0,0.0,3,0.06,31,0.64,433,9.01,10,0.2,7,0.14,0,0.0,377,7.84,0,0.0,1286,26.76,658,13.69,4,0.08,170,3.53,4,0.08,10598,58.0,236.0,299.0,56.0,250.0,225.0,158.0,163.0,132.0,291.0,170.0,213.0,230.0
Kutná Hora,15441,67.41,9,0.08,0,0.0,5,0.04,7,0.06,8,0.07,810,7.85,30,0.29,97,0.94,3,0.02,20,0.19,2382,23.1,17,0.16,0,0.0,1,0.0,28,0.27,908,8.8,11,0.1,8,0.07,0,0.0,697,6.76,0,0.0,3244,31.46,1590,15.42,17,0.16,410,3.97,8,0.07,21642,53.0,138.0,188.0,156.0,157.0,119.0,133.0,77.0,37.0,187.0,178.0,83.0,286.0
Kuřim,8431,73.86,0,0.0,10,0.16,4,0.06,4,0.06,4,0.06,418,6.79,8,0.13,75,1.21,4,0.06,1,0.01,1705,27.72,11,0.17,0,0.0,1,0.01,22,0.35,605,9.83,6,0.09,2,0.03,0,0.0,391,6.35,0,0.0,1725,28.04,887,14.42,10,0.16,242,3.93,15,0.24,11860,178.0,20.0,164.0,296.0,286.0,122.0,273.0,156.0,121.0,157.0,286.0,109.0,426.0
Kyjov,8849,69.47,0,0.0,15,0.24,13,0.21,6,0.09,4,0.06,436,7.15,5,0.08,51,0.83,5,0.08,11,0.18,1691,27.75,6,0.09,0,0.0,4,0.06,18,0.29,460,7.55,5,0.08,2,0.03,0,0.0,334,5.48,0,0.0,2093,34.35,604,9.91,5,0.08,312,5.12,12,0.19,10645,227.0,65.0,149.0,330.0,325.0,108.0,314.0,204.0,163.0,88.0,327.0,194.0,439.0
Liberec,76844,68.32,130,0.25,0,0.0,32,0.06,72,0.13,23,0.04,4191,8.08,84,0.16,484,0.93,37,0.07,160,0.3,10432,20.12,0,0.0,0,0.0,64,0.12,229,0.44,5488,10.58,0,0.0,71,0.13,0,0.0,3323,6.41,0,0.0,15851,30.58,9215,17.77,0,0.0,1871,3.6,77,0.14,108090,146.0,254.0,296.0,315.0,0.0,234.0,117.0,145.0,165.0,332.0,284.0,257.0,259.0
Litomyšl,7638,73.57,0,0.0,0,0.0,9,0.16,9,0.16,1,0.01,376,6.76,18,0.32,93,1.67,3,0.05,12,0.21,1882,33.83,16,0.28,0,0.0,1,0.01,19,0.34,483,8.68,0,0.0,4,0.07,0,0.0,347,6.23,0,0.0,1413,25.4,698,12.54,0,0.0,170,3.05,8,0.14,10448,160.0,156.0,196.0,272.0,267.0,122.0,250.0,109.0,87.0,215.0,273.0,236.0,402.0
Litvínov,18009,55.99,0,0.0,0,0.0,15,0.15,24,0.24,2,0.02,879,8.79,21,0.21,107,1.07,4,0.04,23,0.23,1428,14.29,40,0.4,0,0.0,7,0.07,29,0.29,676,6.76,0,0.0,2,0.02,0,0.0,577,5.77,0,0.0,4902,49.05,714,7.14,0,0.0,520,5.2,23,0.23,22387,117.0,305.0,355.0,246.0,219.0,292.0,42.0,243.0,192.0,376.0,252.0,275.0,164.0
Louny,14049,61.61,0,0.0,0,0.0,4,0.04,9,0.1,1,0.01,665,7.75,18,0.2,90,1.04,5,0.05,17,0.19,1783,20.78,23,0.26,0,0.0,5,0.05,37,0.43,641,7.47,0,0.0,6,0.06,0,0.0,514,5.99,0,0.0,3680,42.89,662,7.71,0,0.0,408,4.75,11,0.12,18068,122.0,309.0,343.0,153.0,207.0,279.0,61.0,233.0,201.0,355.0,240.0,299.0,129.0
Lysá nad Labem,7293,74.17,10,0.18,0,0.0,1,0.01,4,0.07,2,0.03,322,6.03,6,0.11,50,0.93,2,0.03,11,0.2,1337,25.04,6,0.11,0,0.0,5,0.09,35,0.65,654,12.24,9,0.16,5,0.09,0,0.0,375,7.02,0,0.0,1339,25.07,931,17.43,6,0.11,226,4.23,3,0.05,10004,30.0,183.0,206.0,132.0,136.0,143.0,85.0,78.0,64.0,227.0,153.0,136.0,248.0
Mariánské Lázně,9903,60.66,0,0.0,0,0.0,10,0.16,7,0.11,2,0.03,590,9.92,11,0.18,47,0.79,4,0.06,11,0.18,1251,21.04,20,0.33,0,0.0,3,0.05,21,0.35,484,8.14,0,0.0,4,0.06,0,0.0,352,5.92,0,0.0,2168,36.47,696,11.7,0,0.0,257,4.32,6,0.1,14052,147.0,324.0,348.0,58.0,367.0,284.0,228.0,270.0,213.0,351.0,180.0,323.0,76.0
Milovice,8782,61.96,11,0.2,0,0.0,7,0.13,11,0.2,4,0.07,411,7.63,8,0.14,55,1.02,4,0.07,15,0.27,1173,21.8,13,0.24,0,0.0,2,0.03,46,0.85,587,10.91,6,0.11,4,0.07,0,0.0,516,9.59,0,0.0,1536,28.55,735,13.66,11,0.2,220,4.08,5,0.09,14270,45.0,197.0,229.0,139.0,157.0,163.0,102.0,94.0,78.0,241.0,163.0,170.0,451.0
Mladá Boleslav,28171,66.87,18,0.09,0,0.0,12,0.06,10,0.05,9,0.04,1566,8.4,39,0.2,183,0.98,8,0.04,41,0.22,4347,23.33,54,0.28,0,0.0,5,0.02,87,0.46,1528,8.2,23,0.12,10,0.05,0,0.0,1460,7.83,0,0.0,6191,33.22,2318,12.44,20,0.1,670,3.59,32,0.17,47346,68.0,177.0,226.0,194.0,70.0,157.0,108.0,88.0,76.0,225.0,206.0,180.0,250.0
Most,48742,56.89,0,0.0,0,0.0,17,0.06,23,0.08,9,0.03,2521,9.18,49,0.17,312,1.13,9,0.03,73,0.26,3971,14.46,77,0.28,0,0.0,23,0.08,73,0.26,1796,6.54,0,0.0,13,0.04,0,0.0,1843,6.71,0,0.0,13632,49.67,1794,6.53,0,0.0,1176,4.28,34,0.12,63474,117.0,293.0,342.0,162.0,180.0,253.0,41.0,240.0,181.0,366.0,263.0,291.0,77.0
Mělník,15058,66.54,21,0.21,0,0.0,2,0.02,6,0.06,7,0.07,720,7.25,18,0.18,111,1.11,5,0.05,26,0.26,2512,25.3,22,0.22,0,0.0,7,0.07,43,0.43,872,8.78,14,0.14,5,0.05,0,0.0,777,7.82,0,0.0,3185,32.09,1208,12.17,4,0.04,348,3.5,12,0.12,20278,51.0,219.0,248.0,162.0,133.0,182.0,57.0,130.0,100.0,267.0,189.0,162.0,235.0
Neratovice,12218,63.97,10,0.12,0,0.0,6,0.07,7,0.09,5,0.06,618,8.0,12,0.15,81,1.04,6,0.07,20,0.25,1648,21.34,18,0.23,0,0.0,7,0.09,25,0.32,692,8.96,21,0.27,1,0.01,0,0.0,580,7.51,0,0.0,2898,37.52,735,9.51,4,0.05,311,4.02,17,0.22,16360,33.0,201.0,246.0,142.0,116.0,181.0,76.0,134.0,100.0,249.0,170.0,170.0,228.0
Nový Bor,9219,66.53,18,0.29,0,0.0,4,0.06,14,0.23,4,0.06,463,7.65,10,0.16,76,1.25,5,0.08,17,0.28,969,16.02,0,0.0,0,0.0,6,0.09,34,0.56,449,7.42,0,0.0,5,0.08,0,0.0,459,7.59,0,0.0,2261,37.39,1006,16.63,0,0.0,238,3.93,9,0.14,11318,151.0,259.0,308.0,277.0,86.0,239.0,73.0,170.0,158.0,307.0,289.0,262.0,212.0
Nový Jičín,18008,64.72,19,0.16,22,0.19,4,0.03,10,0.08,12,0.1,1010,8.78,11,0.09,104,0.9,10,0.08,33,0.28,2251,19.58,23,0.2,0,0.0,5,0.04,59,0.51,1056,9.18,11,0.09,2,0.01,0,0.0,733,6.37,0,0.0,4325,37.63,923,8.03,0,0.0,855,7.43,15,0.13,23005,214.0,144.0,35.0,323.0,376.0,80.0,307.0,197.0,166.0,129.0,324.0,294.0,439.0
Nymburk,11522,68.69,15,0.19,0,0.0,9,0.11,11,0.14,3,0.03,594,7.6,16,0.2,63,0.8,0,0.0,11,0.14,1747,22.36,28,0.35,0,0.0,6,0.07,52,0.66,755,9.66,19,0.24,5,0.06,0,0.0,523,6.69,0,0.0,2540,32.51,1116,14.28,20,0.25,269,3.44,10,0.12,15642,40.0,151.0,191.0,150.0,103.0,130.0,96.0,55.0,50.0,198.0,172.0,124.0,261.0
Náchod,14970,68.25,0,0.0,0,0.0,4,0.03,12,0.11,5,0.04,719,7.11,26,0.25,99,0.97,7,0.06,34,0.33,2518,24.92,0,0.0,0,0.0,16,0.15,33,0.32,908,8.98,26,0.25,5,0.04,0,0.0,742,7.34,0,0.0,3497,34.61,1028,10.17,0,0.0,411,4.06,14,0.13,19827,141.0,161.0,207.0,235.0,170.0,141.0,219.0,52.0,73.0,222.0,262.0,241.0,371.0
Olomouc,79145,68.7,0,0.0,65,0.12,19,0.03,57,0.1,29,0.05,4070,7.57,97,0.18,634,1.17,28,0.05,131,0.24,13961,25.97,142,0.26,0,0.0,34,0.06,200,0.37,6057,11.27,135,0.25,43,0.08,0,0.0,3174,5.9,0,0.0,16187,30.12,6359,11.83,0,0.0,2244,4.17,75,0.13,103063,133.0,98.0,58.0,225.0,275.0,0.0,209.0,101.0,73.0,53.0,231.0,253.0,334.0
Opava,44300,66.69,39,0.13,48,0.16,22,0.07,26,0.08,14,0.04,2230,7.63,51,0.17,240,0.82,25,0.08,69,0.23,6457,22.1,75,0.25,0,0.0,27,0.09,132,0.45,2328,7.96,37,0.12,13,0.04,0,0.0,1697,5.8,0,0.0,11390,38.98,2802,9.59,0,0.0,1457,4.98,35,0.11,55109,212.0,197.0,20.0,316.0,358.0,83.0,300.0,177.0,148.0,127.0,320.0,308.0,430.0
Ostrava,222190,62.65,188,0.13,126,0.09,105,0.07,97,0.07,70,0.05,10662,7.76,299,0.21,1290,0.93,92,0.06,267,0.19,24301,17.68,351,0.25,0,0.0,81,0.05,608,0.44,10764,7.83,142,0.1,62,0.04,0,0.0,8406,6.11,0,0.0,59902,43.6,11996,8.73,0,0.0,7378,5.37,200,0.14,283187,201.0,143.0,0.0,288.0,306.0,59.0,272.0,162.0,135.0,101.0,292.0,286.0,405.0
Otrokovice,13580,66.55,0,0.0,21,0.23,3,0.03,10,0.11,5,0.05,909,10.15,22,0.24,92,1.02,5,0.05,11,0.12,1707,19.07,25,0.27,0,0.0,2,0.02,39,0.43,778,8.69,8,0.08,3,0.03,0,0.0,525,5.86,0,0.0,3626,40.52,759,8.48,0,0.0,387,4.32,10,0.11,17401,187.0,88.0,72.0,272.0,322.0,32.0,289.0,150.0,119.0,13.0,306.0,214.0,381.0
Pardubice,66266,68.53,0,0.0,0,0.0,48,0.1,50,0.11,16,0.03,3170,7.05,69,0.15,463,1.03,18,0.04,89,0.19,12662,28.17,111,0.24,0,0.0,27,0.06,185,0.41,4151,9.23,0,0.0,39,0.08,0,0.0,3097,6.89,0,0.0,13900,30.93,5025,11.18,0,0.0,1748,3.89,65,0.14,92319,59.0,93.0,145.0,153.0,166.0,70.0,149.0,17.0,0.0,133.0,171.0,139.0,274.0
Pelhřimov,12211,72.43,0,0.0,0,0.0,8,0.09,12,0.13,6,0.06,517,5.9,25,0.28,68,0.77,6,0.06,12,0.13,2336,26.67,0,0.0,0,0.0,12,0.13,53,0.6,637,7.27,0,0.0,6,0.06,0,0.0,594,6.78,0,0.0,2885,32.94,1230,14.04,0,0.0,341,3.89,9,0.1,16206,144.0,236.0,362.0,250.0,323.0,303.0,236.0,237.0,221.0,358.0,123.0,67.0,421.0
Plzeň,124121,66.91,0,0.0,0,0.0,91,0.11,66,0.08,47,0.05,6839,8.34,134,0.16,785,0.95,51,0.06,157,0.19,21413,26.11,242,0.29,0,0.0,37,0.04,302,0.36,8431,10.28,230,0.28,45,0.05,0,0.0,5081,6.19,0,0.0,25336,30.9,9538,11.63,0,0.0,3038,3.7,126,0.15,187928,82.0,259.0,282.0,0.0,272.0,219.0,162.0,185.0,147.0,285.0,110.0,241.0,126.0
Poděbrady,11365,74.25,7,0.08,0,0.0,22,0.26,7,0.08,7,0.08,577,6.91,12,0.14,83,0.99,3,0.03,24,0.28,2499,29.96,18,0.21,0,0.0,2,0.02,38,0.45,877,10.51,13,0.15,8,0.09,0,0.0,475,5.69,0,0.0,2182,26.16,1218,14.6,13,0.15,246,2.94,9,0.1,15232,48.0,143.0,182.0,158.0,115.0,122.0,104.0,48.0,42.0,190.0,203.0,117.0,270.0
Prachatice,8449,67.91,11,0.19,0,0.0,4,0.07,4,0.07,2,0.03,446,7.88,9,0.15,50,0.88,4,0.07,22,0.38,1381,24.42,22,0.38,0,0.0,1,0.01,34,0.6,503,8.89,17,0.3,3,0.05,0,0.0,381,6.73,0,0.0,1955,34.57,554,9.79,0,0.0,249,4.4,3,0.05,11119,177.0,330.0,396.0,140.0,379.0,327.0,283.0,293.0,246.0,420.0,72.0,214.0,336.0
Praha,898829,71.42,700,0.11,0,0.0,339,0.05,488,0.07,209,0.03,33188,5.24,709,0.11,4552,0.71,757,0.11,819,0.12,214826,33.94,1372,0.21,280,0.04,160,0.02,2513,0.39,106657,16.85,1177,0.18,609,0.09,428,0.06,32712,5.16,608,0.09,125996,19.9,84665,13.37,766,0.12,17428,2.75,980,0.15,1397880,0.0,150.0,193.0,83.0,151.0,132.0,69.0,85.0,55.0,194.0,95.0,134.0,194.0
Prostějov,34123,65.29,0,0.0,33,0.14,13,0.05,18,0.08,14,0.06,2393,10.85,45,0.2,250,1.13,7,0.03,38,0.17,4803,21.77,47,0.21,0,0.0,11,0.04,74,0.33,1594,7.22,86,0.38,13,0.05,0,0.0,1276,5.78,0,0.0,8170,37.04,2014,9.13,0,0.0,1119,5.07,35,0.15,43408,166.0,77.0,103.0,271.0,314.0,16.0,276.0,136.0,105.0,90.0,299.0,223.0,370.0
Písek,22371,69.4,23,0.15,0,0.0,13,0.08,11,0.07,5,0.03,1224,8.01,28,0.18,141,0.92,6,0.03,27,0.17,3826,25.04,32,0.2,0,0.0,6,0.03,85,0.55,1374,8.99,31,0.2,10,0.06,0,0.0,991,6.48,0,0.0,5171,33.85,1553,10.16,0,0.0,701,4.58,17,0.11,31121,157.0,304.0,368.0,102.0,331.0,302.0,242.0,272.0,211.0,365.0,44.0,188.0,237.0
Přelouč,6886,69.3,0,0.0,0,0.0,5,0.1,4,0.08,2,0.04,416,8.79,9,0.19,52,1.09,0,0.0,19,0.4,902,19.06,8,0.16,0,0.0,4,0.08,16,0.33,357,7.54,0,0.0,4,0.08,0,0.0,338,7.14,0,0.0,1760,37.2,565,11.94,0,0.0,265,5.6,5,0.1,10203,53.0,109.0,159.0,173.0,168.0,89.0,155.0,29.0,7.0,155.0,174.0,137.0,282.0
Přerov,33097,64.64,0,0.0,28,0.13,25,0.11,19,0.08,10,0.04,2305,10.88,36,0.16,202,0.95,2,0.0,48,0.22,3856,18.2,48,0.22,0,0.0,11,0.05,90,0.42,1535,7.24,28,0.13,9,0.04,0,0.0,1356,6.4,0,0.0,8825,41.66,1536,7.25,0,0.0,1191,5.62,19,0.08,40906,163.0,74.0,54.0,239.0,306.0,12.0,223.0,119.0,93.0,47.0,271.0,217.0,348.0
Příbram,24538,66.89,20,0.12,0,0.0,12,0.07,19,0.11,14,0.08,1346,8.31,28,0.17,190,1.17,16,0.09,29,0.17,3435,21.21,30,0.18,0,0.0,10,0.06,89,0.54,1404,8.66,26,0.16,13,0.08,0,0.0,1158,7.15,0,0.0,5876,36.28,1692,10.44,23,0.14,736,4.54,29,0.17,32773,88.0,261.0,308.0,73.0,283.0,242.0,194.0,196.0,158.0,302.0,112.0,252.0,257.0
Rakovník,11778,67.14,10,0.12,0,0.0,9,0.11,14,0.17,3,0.03,622,7.93,15,0.19,89,1.13,4,0.05,15,0.19,1614,20.59,20,0.25,0,0.0,3,0.03,66,0.84,679,8.66,15,0.19,5,0.06,0,0.0,506,6.45,0,0.0,2869,36.6,872,11.12,8,0.1,389,4.96,11,0.14,15682,91.0,264.0,320.0,109.0,269.0,250.0,138.0,190.0,168.0,320.0,231.0,245.0,138.0
Rokycany,10232,65.72,0,0.0,0,0.0,5,0.07,7,0.1,3,0.04,518,7.76,8,0.11,68,1.01,6,0.08,13,0.19,1403,21.02,28,0.41,0,0.0,2,0.02,26,0.38,520,7.79,21,0.31,2,0.02,0,0.0,390,5.84,0,0.0,2666,39.94,687,10.29,0,0.0,291,4.36,10,0.14,14381,80.0,248.0,316.0,10.0,261.0,250.0,190.0,174.0,150.0,300.0,132.0,230.0,163.0
Roudnice nad Labem,9622,67.16,0,0.0,0,0.0,8,0.12,7,0.1,0,0.0,488,7.61,18,0.28,73,1.13,7,0.1,11,0.17,1700,26.53,19,0.29,0,0.0,8,0.12,34,0.53,666,10.39,0,0.0,11,0.17,0,0.0,377,5.88,0,0.0,2105,32.85,620,9.67,0,0.0,241,3.76,14,0.21,12668,47.0,219.0,269.0,165.0,168.0,209.0,32.0,159.0,137.0,272.0,166.0,249.0,153.0
Rožnov pod Radhoštěm,12767,67.93,0,0.0,6,0.06,6,0.06,8,0.09,3,0.03,758,8.84,17,0.19,87,1.01,4,0.04,17,0.19,2310,26.94,26,0.3,0,0.0,3,0.03,25,0.29,774,9.02,11,0.12,2,0.02,0,0.0,586,6.83,0,0.0,2622,30.58,936,10.91,0,0.0,367,4.28,6,0.06,16063,246.0,180.0,90.0,345.0,380.0,109.0,329.0,192.0,185.0,128.0,360.0,337.0,475.0
Rumburk,8432,61.57,0,0.0,0,0.0,7,0.13,6,0.11,20,0.38,479,9.3,11,0.21,68,1.32,1,0.01,16,0.31,633,12.29,15,0.29,0,0.0,2,0.03,16,0.31,251,4.87,0,0.0,2,0.03,0,0.0,400,7.77,0,0.0,2294,44.56,718,13.94,0,0.0,205,3.98,3,0.05,10815,187.0,301.0,349.0,293.0,123.0,281.0,95.0,212.0,200.0,355.0,294.0,310.0,222.0
Rychnov nad Kněžnou,8409,70.88,0,0.0,0,0.0,6,0.1,10,0.16,6,0.1,500,8.48,13,0.22,61,1.03,2,0.03,12,0.2,1443,24.49,0,0.0,0,0.0,13,0.22,27,0.45,452,7.67,13,0.22,3,0.05,0,0.0,479,8.13,0,0.0,1961,33.28,594,10.08,0,0.0,287,4.87,9,0.15,11420,141.0,151.0,198.0,235.0,228.0,130.0,251.0,45.0,85.0,207.0,286.0,230.0,377.0
Slaný,11702,66.47,13,0.16,0,0.0,6,0.07,14,0.18,2,0.02,537,6.97,10,0.12,76,0.98,1,0.01,11,0.14,1818,23.61,23,0.29,0,0.0,5,0.06,47,0.61,660,8.57,16,0.2,7,0.09,0,0.0,553,7.18,0,0.0,2662,34.57,933,12.11,7,0.09,289,3.75,9,0.11,16937,74.0,257.0,284.0,185.0,201.0,219.0,103.0,172.0,137.0,304.0,179.0,236.0,224.0
Sokolov,17890,55.8,0,0.0,0,0.0,9,0.09,14,0.14,3,0.03,936,9.49,9,0.09,126,1.27,4,0.04,35,0.35,1318,13.37,27,0.27,0,0.0,8,0.08,49,0.49,613,6.21,0,0.0,5,0.05,0,0.0,674,6.83,0,0.0,4464,45.28,1126,11.42,0,0.0,419,4.25,18,0.18,22007,205.0,371.0,405.0,104.0,278.0,331.0,139.0,337.0,270.0,433.0,283.0,370.0,17.0
Strakonice,17142,66.02,14,0.12,0,0.0,6,0.05,10,0.08,5,0.04,1010,9.02,29,0.25,105,0.93,4,0.03,16,0.14,2300,20.55,30,0.26,0,0.0,6,0.05,57,0.5,887,7.92,14,0.12,4,0.03,0,0.0,734,6.55,0,0.0,4398,39.3,1058,9.45,0,0.0,491,4.38,12,0.1,22355,149.0,308.0,390.0,63.0,358.0,321.0,248.0,271.0,233.0,405.0,48.0,192.0,198.0
Sušice,8559,67.6,0,0.0,0,0.0,11,0.19,5,0.08,3,0.05,408,7.09,16,0.27,65,1.13,5,0.08,19,0.33,1332,23.17,20,0.34,0,0.0,2,0.03,15,0.26,500,8.7,14,0.24,4,0.06,0,0.0,414,7.2,0,0.0,2039,35.47,607,10.56,0,0.0,260,4.52,8,0.13,10740,178.0,350.0,380.0,83.0,379.0,315.0,258.0,301.0,243.0,418.0,90.0,234.0,241.0
Svitavy,12815,67.29,0,0.0,0,0.0,16,0.18,14,0.16,4,0.04,635,7.45,9,0.1,75,0.88,2,0.02,13,0.15,1750,20.53,19,0.22,0,0.0,7,0.08,44,0.51,735,8.62,0,0.0,11,0.12,0,0.0,608,7.13,0,0.0,3434,40.29,728,8.54,0,0.0,408,4.78,10,0.11,16073,112.0,57.0,133.0,215.0,228.0,67.0,199.0,80.0,44.0,149.0,236.0,201.0,355.0
